Time	CPU	Thrtl	MotorC	PWM	PackV	Temp	RPM	In1	In2	In3	12V	Mode
18110	32.25	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18120	32.25	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18130	32.25	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18140	32.25	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18150	32.25	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18160	32.25	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18170	32.25	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18180	32.29	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18190	32.29	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18200	32.29	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18210	32.29	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18220	32.29	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18230	32.29	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18240	32.29	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18250	32.50	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18260	32.50	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18270	32.50	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18280	32.50	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18290	32.50	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18300	32.50	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18310	32.50	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18320	32.24	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18330	32.24	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
18340	32.24	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
